sym,t,bar_close_ms,dirn,tier,rv,vratio,ats_ratio,entry,prior_h,prior_l,aligned,why,bars,fade_bps,fwd2,fwd4,fwd8,fwd16,fwd32,rv_pass,tier_pass,signalled,vpin30,vpin60,adverse_ofi,ats_tape,size_conc,big_share,prints_ratio
ASTER,1784592000000,1784592900000,1,HIGH,0.0012720904840166,127.5235695226801,1.1491717117604294,0.62792,0.62619,0.61803,1,backstop,32,-60.809912090710775,20.066250477766715,19.747738565422647,37.58440565677025,3.981398904318583,57.809912090710775,0,1,0,,,,,,,
RENDER,1784592000000,1784592900000,1,MID,0.0025008081641636,41.239754098360656,9.12450657330674,1.5242,1.5215,1.4691,1,backstop,32,-132.90421204566354,0.0,7.216900669204179,-17.714210733499048,55.76695971657232,129.90421204566354,0,1,0,,,,,,,
MEGA,1784592000000,1784592900000,-1,MID,0.0041066987114682,5.400846277238311,1.8742917054711368,0.042121,0.044271,0.042663,0,reclaim,2,130.89995489185964,-133.89995489185964,-214.1449633199592,-114.43223095368184,-235.9867999335253,-216.75648726288645,1,1,0,,,,,,,
NEAR,1784592900000,1784593800000,1,HIGH,0.003827518301452,46.003154503473695,4.788003635601288,1.9928,1.99,1.8977,1,reclaim,4,18.577679646728075,23.08309915696588,-21.577679646728075,-2.007226013648916,185.6684062625448,91.3287836210368,1,1,1,,,,,,,
UNI,1784593800000,1784594700000,1,HIGH,0.0041311844944531,8.312185116146757,1.5459893086597445,3.6857,3.6462,3.41,1,backstop,32,-94.97710068643568,-39.06991887565508,-56.43432726483537,-58.6048783134826,1.627913286485427,91.97710068643568,1,1,1,,,,,,,
USUAL,1784593800000,1784594700000,1,MID,0.0041177763570434,5.3045025325752535,3.122870970422364,0.0088,0.00872,0.00832,1,backstop,32,-162.09090909090853,34.0909090909077,-45.45454545454557,79.54545454545327,215.90909090909,159.09090909090853,1,1,1,,,,,,,
LDO,1784593800000,1784594700000,1,HIGH,0.0053518177720812,6.108205130386331,1.580906678310563,0.39346,0.38839,0.35074,1,backstop,32,-66.53886036700052,7.116352361104115,28.719564885884715,-14.232704722206815,219.081990545418,63.53886036700052,1,1,1,,,,,,,
ASTER,1784593800000,1784594700000,1,HIGH,0.0012409392448709,6.87310999110584,2.545033538526182,0.62918,0.62892,0.61803,1,reclaim,3,11.94008074000987,-0.3178740582966556,-9.695158778092113,32.58209097555543,-17.642010235543793,40.52894243300888,0,1,0,,,,,,,
ICP,1784593800000,1784594700000,1,HIGH,0.0029091541290226,7.651875528814515,3.606389492689409,2.2207,2.2164,2.1073,1,reclaim,3,25.369433061647104,73.40027919124692,-60.34133381366172,-37.37560228756587,-20.71418921961516,-11.708019993694393,0,1,0,,,,,,,
S,1784595600000,1784596500000,1,LOW,0.0042135809540902,6.834041398613382,3.202393646188708,0.025456,0.025411,0.02321,1,reclaim,1,56.31803896920111,-59.31803896920111,-142.20615964801922,-152.02702702702643,-262.02074167190483,-257.3067253299809,1,0,0,,,,,,,
MELANIA,1784595600000,1784596500000,1,LOW,0.003171313626922,7.925477042757688,3.035999507654745,0.08037,0.07959,0.07747,1,backstop,32,-81.38745800671963,100.78387458006785,84.608684832649,43.5485877815109,176.68284185641463,78.38745800671963,0,0,0,,,,,,,
MELANIA,1784596500000,1784597400000,1,LOW,0.0032833080966736,9.9531795024153,4.097606696167991,0.08106,0.08037,0.07747,1,backstop,32,25.37404391808464,0.0,-24.67308166789932,-41.9442388354297,87.58943992104643,-28.37404391808464,0,0,0,,,,,,,
IMX,1784597400000,1784598300000,-1,MID,0.0024402593931516,48.79093148004453,22.018890198864742,0.12398,0.12689,0.12403,0,reclaim,6,20.390869495079738,16.938215841264867,0.806581706727698,-29.843523148894604,-116.1477657686721,-350.0564607194695,0,1,0,,,,,,,
CELO,1784600100000,1784601000000,1,LOW,0.003191549836682,5.38358227689218,3.311657414750198,0.070344,0.069872,0.067697,1,backstop,32,-120.70726714431868,114.43762083475494,189.7816444899356,131.35448652337004,191.771863982714,117.70726714431868,0,0,0,,,,,,,
XMR,1784600100000,1784601000000,1,HIGH,0.0020840599601924,7.80740153841075,3.0106098146218745,339.84,339.0,332.51,1,backstop,32,-183.9675141242948,59.43973634651715,93.27919020715676,166.25470809792944,65.32485875706296,180.9675141242948,0,1,0,,,,,,,
ME,1784601000000,1784601900000,1,MID,0.0025124657932889,7.247774917971589,5.553659220247201,0.06273,0.06253,0.06017,0,backstop,32,-210.23736649131348,27.100271002710585,33.476805356289155,135.50135501355072,159.4133588394709,207.23736649131348,0,1,0,,,,,,,
XMR,1784601000000,1784601900000,1,HIGH,0.0020869744986933,29.30058139534884,4.916902187969855,340.56,340.0,332.51,1,backstop,32,-188.576697204604,60.194972985670994,129.49260042283373,139.47615691801738,45.51327225745864,185.576697204604,0,1,0,,,,,,,
kFLOKI,1784602800000,1784603700000,1,LOW,0.0031919564112529,29.777917828142044,23.41564946897325,0.021612,0.021587,0.020816,1,reclaim,1,25.22506015176687,-37.47917823431322,-49.046825837496975,-38.86729594669662,8.791412178420163,-37.94188413844103,0,0,0,,,,,,,
NXPC,1784602800000,1784603700000,1,LOW,0.0033514810099403,23.395378418486327,15.829703215354495,0.24395,0.24349,0.2307,1,backstop,32,-82.52449272391873,54.519368723098914,125.43554006968672,144.70178315228551,82.80385324861626,79.52449272391873,0,0,0,,,,,,,
NEAR,1784602800000,1784603700000,1,HIGH,0.0036502000669176,21.859183876055635,4.830353994686063,2.0188,2.0116,1.8977,1,reclaim,21,35.636813948880665,21.299782048740585,84.20844065781604,74.79690905488354,83.7130968892396,-136.71488012680834,1,1,1,,,,,,,
kSHIB,1784602800000,1784603700000,1,MID,0.0024050107131283,9.484880182096852,4.172145423455119,0.004278,0.004268,0.004115,1,backstop,32,15.700327255725403,-4.675081813930337,0.0,21.037868162693613,21.037868162693613,-18.700327255725405,0,1,0,,,,,,,
FET,1784602800000,1784603700000,1,MID,0.0027524102757089,15.51474163709024,4.924670826820654,0.15579,0.15572,0.15022,1,backstop,32,-178.87778419667453,10.912125296872436,30.16881699723976,41.722832017458366,153.41164387957988,175.87778419667453,0,1,0,,,,,,,
BCH,1784602800000,1784603700000,1,MID,0.0024597710712936,5.024891568920096,2.4430516410095207,222.84,222.48,209.68,1,backstop,32,-84.22419673308214,13.01382157601831,29.61766289714578,90.64799856399256,3.141267276969717,81.22419673308214,0,1,0,,,,,,,
XMR,1784602800000,1784603700000,1,HIGH,0.0021268486107206,8.816142579125268,2.098052651578222,342.61,341.91,332.51,1,reclaim,12,18.015148419486508,68.88298648609245,128.42590700796757,9.048188902834193,-23.93391903330297,69.75861767023689,0,1,0,,,,,,,
ZK,1784602800000,1784603700000,1,LOW,0.0036993544826868,23.424973504714803,7.853838979170392,0.009574,0.009493,0.009178,1,backstop,32,42.957802381448616,31.33486526007992,60.58073950282093,-72.07019009818218,-44.91330687278007,-45.957802381448616,1,0,0,,,,,,,
RENDER,1784602800000,1784603700000,1,MID,0.0022024269617145,10.928888618529108,6.268638909398693,1.5327,1.5307,1.4691,0,reclaim,8,18.5306322176542,1.3048868010698635,0.0,-21.5306322176542,26.750179421935098,100.47628368239108,0,1,0,,,,,,,
ENS,1784602800000,1784603700000,1,MID,0.0038500566425938,14.1783080498472,7.322190678879108,4.7096,4.676,4.35,1,reclaim,2,98.4948190929158,-101.4948190929158,-126.3376932223541,-212.1199252590451,-214.88024460676152,-282.8265670120614,1,1,1,,,,,,,
PENDLE,1784603700000,1784604600000,1,MID,0.0036981838349653,16.377645709519342,2.122102432421204,1.6341,1.6291,1.5234,1,backstop,32,-179.24380392876776,36.10550149929499,44.06095098219125,44.06095098219125,36.717459151825366,176.24380392876776,1,1,1,,,,,,,
STABLE,1784603700000,1784604600000,1,LOW,0.0026159597932294,24.18835135066064,7.641300512909943,0.036764,0.036365,0.03516,1,backstop,32,-209.17995865520663,7.0721357850084825,17.680339462518376,16.864323795016745,99.28190621260045,206.17995865520663,0,0,0,,,,,,,
0G,1784603700000,1784604600000,1,MID,0.0042563513040391,5.049009009009009,3.2251332200307683,0.18053,0.1781,0.16693,0,backstop,32,-130.402647759375,-127.95657231485109,-131.28011964770306,28.80407688472789,58.16207832493189,127.40264775937496,1,1,0,,,,,,,
